rank,borough_rank,school_name,borough,school_urn,age_range,eligible_pupils,total_pupils,fsm_percent,religious_denomination,is_faith_school,non_faith_rank,fte_all_teachers,pupils_per_teacher,anomalous_low_ptr,composite_score,expected_rwm,higher_rwm,reading_score,maths_score,gps_score,mean_scaled_score,postcode,latitude,longitude,terrace_sales_count_2y_0_5mi,terrace_avg_price_2y_0_5mi,terrace_median_price_2y_0_5mi,full_address
40,1,Our Lady of Grace Catholic Primary School,Greenwich,100168,4 to 11,60,417.0,30.0,Roman Catholic,True,,16.8,24.82142857142857,False,94.63592233009709,87.0,45.0,111.0,112.0,112.0,111.66666666666667,SE7 7HR,51.48143,0.028408,134,702581,674000,"16 Highcombe, Charlton, London, SE7 7HR"
41,4,Essendine Primary School,Westminster,101111,3 to 11,43,262.0,51.0,Does not apply,False,23,14.0,18.714285714285715,False,94.32038834951456,84.0,37.0,111.0,112.0,114.0,112.33333333333333,W9 2LR,51.528059,-0.195058,59,1375513,1050000,"Essendine Road, London, W9 2LR"
42,3,Elmhurst Primary School,Newham,145362,3 to 11,110,988.0,36.0,Does not apply,False,24,52.68,18.754745634016704,False,94.23543689320388,92.0,27.0,110.0,113.0,114.0,112.33333333333333,E7 8JY,51.539978,0.031272,185,493615,500000,"Upton Park Road, Forest Gate, London, E7 8JY"
43,3,"St Andrew's CofE Voluntary Aided Primary School, Totteridge",Barnet,101327,4 to 11,28,195.0,14.0,Church of England,True,,9.2,21.195652173913047,False,94.1990291262136,93.0,25.0,113.0,113.0,111.0,112.33333333333333,N20 8NX,51.629911,-0.196421,2,1375000,1375000,"The Green, Totteridge, London, N20 8NX"
44,4,Rosetta Primary School,Newham,145087,4 to 11,74,559.0,53.0,Does not apply,False,25,35.2,15.880681818181817,False,94.07766990291262,91.0,26.0,112.0,110.0,114.0,112.0,E16 3PB,51.515424,0.027311,119,420922,425000,"Sophia Road, Custom House, London, E16 3PB"
45,6,Archdeacon Cambridge's Church of England Primary School,Richmond upon Thames,102920,3 to 11,58,443.0,2.0,Church of England,True,,18.12,24.44812362030905,False,94.04733009708738,84.0,33.0,113.0,111.0,113.0,112.33333333333333,TW2 5TU,51.443826,-0.340614,174,806008,771250,"The Green, Twickenham, TW2 5TU"
46,2,Rhodes Avenue Primary School,Haringey,102128,3 to 11,91,688.0,5.0,Does not apply,False,26,28.3,24.31095406360424,False,93.9381067961165,92.0,30.0,112.0,111.0,111.0,111.33333333333333,N22 7UT,51.600756,-0.137016,90,1337019,1290000,"Rhodes Avenue, London, N22 7UT"
47,4,Brunswick Park Primary and Nursery School,Barnet,101264,3 to 11,59,447.0,20.0,Does not apply,False,27,22.3,20.044843049327355,False,93.93203883495146,93.0,36.0,110.0,111.0,112.0,111.0,N14 5DU,51.630876,-0.147558,71,647558,620000,"Osidge Lane, Southgate, London, N14 5DU"
48,4,St Joseph's Catholic Primary School,Kensington and Chelsea,148438,3 to 11,29,226.0,14.0,Roman Catholic,True,,13.51,16.72834937083642,False,93.91383495145631,93.0,28.0,112.0,110.0,112.0,111.33333333333333,SW3 2QT,51.492843,-0.161991,166,3987451,3453750,"Cadogan Street, London, SW3 2QT"
49,4,St Peter's Primary School,Hammersmith and Fulham,100352,4 to 11,30,209.0,30.0,Church of England,True,,8.6,24.30232558139535,False,93.80461165048544,90.0,40.0,111.0,111.0,111.0,111.0,W6 9BA,51.492048,-0.240936,81,1561067,1360000,"33 St Peter's Road, Hammersmith, London, W6 9BA"
50,1,Crofton Junior School,Bromley,137683,7 to 11,176,715.0,12.0,None,False,28,37.34,19.148366363149435,False,93.62257281553397,91.0,37.0,112.0,110.0,111.0,111.0,BR5 1EL,51.384132,0.077451,31,513374,490000,"Towncourt Lane, Orpington, BR5 1EL"
51,5,John Betts Primary School,Hammersmith and Fulham,100346,5 to 11,28,202.0,25.0,None,False,29,11.8,17.11864406779661,False,93.62257281553397,100.0,36.0,111.0,110.0,111.0,110.66666666666667,W6 0UA,51.498552,-0.237502,162,1384352,1360000,"Paddenswick Road, London, W6 0UA"
52,4,Aldersbrook Primary School,Redbridge,102823,3 to 11,86,664.0,12.0,Does not apply,False,30,35.74,18.578623391158366,False,93.51941747572816,90.0,22.0,112.0,113.0,112.0,112.33333333333333,E12 5HL,51.564393,0.037005,41,825359,920000,"Harpenden Road, Wanstead, London, E12 5HL"
53,1,Merryhills Primary School,Enfield,150114,4 to 11,89,621.0,8.0,Does not apply,False,31,28.8,21.5625,False,93.5133495145631,90.0,30.0,111.0,110.0,113.0,111.33333333333333,EN2 7RE,51.651735,-0.108428,25,696948,572500,"Bincote Road, Enfield, EN2 7RE"
54,7,The King's Church of England Primary School,Richmond upon Thames,102921,4 to 11,43,394.0,9.0,Church of England,True,,17.8,22.134831460674157,False,93.39199029126213,88.0,42.0,111.0,110.0,112.0,111.0,TW9 3HJ,51.480207,-0.286037,42,1110704,1103150,"Cumberland Road, Kew, Richmond, TW9 3HJ"
55,2,Hampstead Parochial Church of England Primary School,Camden,100031,4 to 11,26,199.0,19.0,Church of England,True,,8.9,22.359550561797754,False,93.35558252427184,85.0,42.0,111.0,111.0,112.0,111.33333333333333,NW3 6TX,51.556444,-0.179003,46,3005027,2705000,"Hampstead Parochial School , Holly Bush Vale, Hampstead, London, NW3 6TX"
56,1,Regina Coeli Catholic Primary School,Croydon,101800,4 to 11,55,382.0,27.0,Roman Catholic,True,,17.35,22.017291066282418,False,93.3373786407767,84.0,29.0,112.0,113.0,112.0,112.33333333333333,CR2 6DF,51.355893,-0.106091,85,402510,403000,"173 Pampisford Road, South Croydon, CR2 6DF"
57,5,Monkfrith Primary School,Barnet,101293,5 to 11,59,415.0,8.0,Does not apply,False,32,19.31,21.491455204557226,False,93.25849514563107,88.0,25.0,111.0,111.0,114.0,112.0,N14 5NG,51.636764,-0.146307,48,656177,620000,"Knoll Drive, London, N14 5NG"
58,3,Lift Noel Park,Haringey,138588,3 to 11,53,621.0,38.0,None,False,33,24.2,25.66115702479339,False,93.13106796116504,92.0,26.0,112.0,111.0,111.0,111.33333333333333,N22 6LH,51.596048,-0.101951,228,627006,625000,"Gladstone Avenue, Wood Green, London, N22 6LH"
59,5,Vicarage Primary School,Newham,145366,3 to 11,118,876.0,49.0,Does not apply,False,34,37.8,23.174603174603178,False,93.11286407766991,88.0,25.0,110.0,114.0,115.0,113.0,E6 6AD,51.526811,0.060744,141,424106,420000,"Vicarage Lane, East Ham, London, E6 6AD"
60,2,Iqra Primary School,Lambeth,135614,3 to 11,29,244.0,38.0,Muslim,True,,11.8,20.677966101694913,False,93.1128640776699,97.0,21.0,110.0,114.0,114.0,112.66666666666667,SW4 9PA,51.455243,-0.130021,163,1156848,980000,"127 Park Hill, Off Clarence Avenue, Clapham, London, SW4 9PA"
61,1,Deanesfield Primary School,Hillingdon,102377,3 to 11,89,676.0,17.0,Does not apply,False,35,29.47,22.938581608415337,False,93.10679611650485,87.0,27.0,112.0,111.0,112.0,111.66666666666667,HA4 0LR,51.55933,-0.3907,65,551415,550000,"Queens Walk, Ruislip, HA4 0LR"
62,6,St Stephen's Primary School,Newham,102748,4 to 11,90,623.0,44.0,Does not apply,False,36,31.6,19.71518987341772,False,93.04611650485437,89.0,31.0,110.0,111.0,113.0,111.33333333333333,E6 1AS,51.537641,0.037916,186,475358,484750,"Whitfield Road, London, E6 1AS"
63,1,Judith Kerr Primary School,Southwark,139907,3 to 11,44,407.0,5.0,None,False,37,20.2,20.14851485148515,False,93.04004854368931,86.0,27.0,113.0,111.0,112.0,112.0,SE24 9JE,51.452732,-0.093061,82,1326619,1305250,"62-68 Half Moon Lane, Herne Hill, London, SE24 9JE"
64,1,East Lane Primary School,Brent,144794,4 to 11,86,628.0,16.0,None,False,38,45.0,13.955555555555556,True,92.97330097087378,88.0,28.0,111.0,110.0,114.0,111.66666666666667,HA0 3NT,51.563361,-0.307742,30,550022,550000,"East Lane, Wembley, HA0 3NT"
65,2,St James' Roman Catholic Primary School,Bromley,137958,5 to 11,32,218.0,9.0,Roman Catholic,True,,8.6,25.348837209302328,False,92.9004854368932,94.0,31.0,110.0,112.0,111.0,111.0,BR5 1BL,51.389382,0.066348,16,539031,515000,"Maybury Close, Petts Wood, Orpington, BR5 1BL"
66,4,Eden Primary,Haringey,136808,4 to 11,29,205.0,0.0,Jewish,True,,10.5,19.523809523809526,False,92.87621359223301,93.0,21.0,112.0,111.0,112.0,111.66666666666667,N10 1NR,51.595121,-0.152594,90,1351649,1347500,"79 Creighton Avenue, Muswell Hill, London, N10 1NR"
67,3,Willow Brook Primary School Academy,Waltham Forest,138364,3 to 11,87,664.0,36.0,Does not apply,False,39,33.4,19.880239520958085,False,92.77912621359224,89.0,31.0,111.0,110.0,112.0,111.0,E10 7BH,51.565052,-0.020376,164,625202,622500,"190 Church Road, Leyton, London, E10 7BH"
68,6,West London Free School Primary,Hammersmith and Fulham,139546,4 to 11,59,416.0,24.0,None,False,40,20.64,20.155038759689923,False,92.71237864077669,92.0,36.0,110.0,110.0,112.0,110.66666666666667,W6 0LB,51.494763,-0.230704,119,1593643,1499950,"Cambridge Grove, London, W6 0LB"
69,1,"Newton Farm Nursery, Infant and Junior School",Harrow,102181,3 to 11,58,453.0,14.0,Does not apply,False,41,21.2,21.367924528301888,False,92.61529126213593,83.0,28.0,111.0,112.0,114.0,112.33333333333333,HA2 9JU,51.56922,-0.37494,97,550354,541000,"Ravenswood Crescent, South Harrow, Harrow, HA2 9JU"
70,2,Beaumont Primary School,Croydon,101756,4 to 11,29,212.0,14.0,Does not apply,False,42,12.08,17.549668874172184,False,92.59708737864078,90.0,34.0,112.0,109.0,112.0,111.0,CR8 4DN,51.325833,-0.12029,24,459352,422500,"Old Lodge Lane, Purley, CR8 4DN"
71,1,Scotts Primary School,Havering,102316,4 to 11,60,420.0,10.0,Does not apply,False,43,17.3,24.277456647398843,False,92.4878640776699,90.0,32.0,110.0,110.0,113.0,111.0,RM12 6TH,51.544418,0.21286,65,429877,435000,"Bonington Road, Hornchurch, RM12 6TH"
72,2,Belmont Primary School,Hounslow,102470,3 to 11,56,451.0,21.0,Does not apply,False,44,18.55,24.31266846361186,False,92.4878640776699,84.0,29.0,112.0,111.0,112.0,111.66666666666667,W4 5UL,51.492916,-0.263606,132,1324659,1265250,"Belmont Road, Chiswick, London, W4 5UL"
73,2,Enfield Heights Academy,Enfield,138381,4 to 11,27,199.0,48.0,None,False,45,10.8,18.425925925925924,False,92.3483009708738,93.0,22.0,110.0,112.0,113.0,111.66666666666667,EN3 5BY,51.663257,-0.045468,140,431832,425000,"Pitfield Way, Enfield Highway, Enfield, EN3 5BY"
74,3,Harris Primary Academy Beckenham Green,Bromley,144287,4 to 11,31,210.0,26.0,Does not apply,False,46,7.63,27.522935779816514,False,92.2633495145631,97.0,16.0,113.0,113.0,113.0,113.0,BR3 5JG,51.40883,-0.024213,61,668969,680000,"St George's Road, Beckenham, BR3 5JG"
75,6,Monken Hadley CofE Primary School,Barnet,101318,4 to 11,24,149.0,0.0,Church of England,True,,7.49,19.893190921228303,False,92.05703883495146,88.0,25.0,110.0,112.0,113.0,111.66666666666667,EN4 0NJ,51.663454,-0.187788,1,715000,715000,"Camlet Way, Monken Hadley, Barnet, EN4 0NJ"
76,2,Holy Family Catholic Primary School,Ealing,137569,3 to 11,60,453.0,18.0,Roman Catholic,True,,20.0,22.65,False,92.0266990291262,80.0,33.0,111.0,112.0,114.0,112.33333333333333,W3 0DY,51.52098,-0.282978,16,856512,856845,"Vale Lane, Acton, London, W3 0DY"
77,7,Ravenscroft Primary School,Newham,144140,3 to 11,82,514.0,55.0,Does not apply,False,47,29.4,17.482993197278912,False,92.00849514563106,88.0,30.0,112.0,109.0,113.0,111.33333333333333,E16 4BD,51.519794,0.022676,140,430320,422500,"Carson Road, London, E16 4BD"
78,5,St Peter's Eaton Square CofE Primary School,Westminster,101140,4 to 11,22,161.0,36.0,Church of England,True,,11.41,14.110429447852761,True,91.83252427184466,91.0,32.0,111.0,109.0,112.0,110.66666666666667,SW1W 0NL,51.496015,-0.146391,97,4358908,3300000,"Lower Belgrave Street, London, SW1W 0NL"
79,5,Cleveland Road Primary School,Redbridge,102798,3 to 11,115,903.0,29.0,Does not apply,False,48,26.9,33.56877323420075,False,91.66262135922331,87.0,25.0,110.0,112.0,113.0,111.66666666666667,IG1 1EW,51.554657,0.074755,160,441222,435000,"Cleveland Road, Ilford, IG1 1EW"
80,7,Akiva School,Barnet,135086,4 to 11,58,420.0,0.0,Jewish,True,,19.36,21.694214876033058,False,91.6383495145631,86.0,31.0,111.0,111.0,111.0,111.0,N3 2SY,51.59528,-0.189333,37,774095,785000,"80 East End Road, London, N3 2SY"
81,2,Wingfield Primary School,Greenwich,148615,3 to 11,59,646.0,27.0,Does not apply,False,49,29.62,21.809588116137743,False,91.52305825242718,85.0,34.0,110.0,111.0,112.0,111.0,SE3 9GJ,51.461191,0.022444,84,779618,800000,"Ensign Street, London, SE3 9GJ"
82,8,Menorah Primary School for Boys,Barnet,150274,3 to 11,23,209.0,0.0,Jewish,True,,14.33,14.584787159804605,True,91.30461165048544,91.0,30.0,111.0,111.0,110.0,110.66666666666667,NW11 9SP,51.574481,-0.2069,31,806290,790000,"The Wohl Campus, 1 - 3 the Drive, Golders Green, London, NW11 9SP"
83,2,Ark Franklin Primary Academy,Brent,139830,3 to 11,84,665.0,30.0,None,False,50,32.4,20.524691358024693,False,91.27427184466019,96.0,35.0,112.0,111.0,109.0,110.66666666666667,NW6 6HJ,51.532658,-0.215883,173,1498188,1250000,"Harvist Road, London, NW6 6HJ"
84,8,Scott Wilkie Primary School,Newham,145365,3 to 11,34,390.0,76.0,Does not apply,False,51,22.3,17.48878923766816,False,91.2621359223301,85.0,26.0,110.0,112.0,113.0,111.66666666666667,E16 3HD,51.512127,0.037469,76,417187,419000,"Hoskins Close, London, E16 3HD"
85,2,The Cathedral School of St Saviour and St Mary Overie,Southwark,100840,3 to 11,29,219.0,45.0,Church of England,True,,13.2,16.590909090909093,False,91.0133495145631,93.0,41.0,109.0,111.0,111.0,110.33333333333333,SE1 1HG,51.502909,-0.094022,12,1316625,927500,"Redcross Way, Southwark, LONDON, SE1 1HG"
86,1,Rush Green Primary School,Barking and Dagenham,101212,3 to 11,108,823.0,27.0,Does not apply,False,52,38.8,21.211340206185568,False,90.88592233009709,89.0,22.0,110.0,111.0,113.0,111.33333333333333,RM7 0RL,51.5651591,0.1760645,89,446487,450000,"Dagenham Road, Rush Green, Romford, RM7 0RL"
87,4,La Fontaine Academy,Bromley,140999,4 to 11,59,451.0,10.0,None,False,53,21.8,20.68807339449541,False,90.84344660194175,92.0,24.0,111.0,110.0,111.0,110.66666666666667,BR1 2SQ,51.402514,0.031729,89,538497,525000,"Nightingale Lane, Bickley, Bromley, BR1 2SQ"
88,8,St Mary's and St Peter's Church of England Primary School,Richmond upon Thames,102917,4 to 11,90,625.0,8.0,Church of England,True,,27.8,22.48201438848921,False,90.72815533980582,83.0,32.0,111.0,110.0,112.0,111.0,TW11 8RX,51.429562,-0.339822,171,910429,890000,"Somerset Road, Teddington, TW11 8RX"
89,2,Gillespie Primary School,Islington,100405,3 to 11,27,208.0,15.0,Does not apply,False,54,11.0,18.90909090909091,False,90.69174757281553,89.0,26.0,112.0,111.0,110.0,111.0,N5 1LH,51.559721,-0.100996,93,1550506,1550000,"Gillespie Road, London, N5 1LH"
90,3,Grove Park Primary School,Hounslow,102485,3 to 11,60,433.0,23.0,Does not apply,False,55,19.6,22.091836734693874,False,90.6735436893204,93.0,20.0,111.0,110.0,112.0,111.0,W4 3JN,51.484743,-0.27217,62,1170678,1089000,"Nightingale Close, Chiswick, London, W4 3JN"
91,5,St Charles Catholic Primary School,Kensington and Chelsea,100505,3 to 11,28,214.0,61.0,Roman Catholic,True,,13.4,15.970149253731343,False,90.47330097087378,89.0,21.0,110.0,111.0,113.0,111.33333333333333,W10 6EB,51.52172,-0.213918,53,1795388,1200000,"83 St Charles Square, London, W10 6EB"
92,7,St John XXIII Catholic Primary School,Hammersmith and Fulham,149641,3 to 11,48,298.0,58.0,Roman Catholic,True,,21.8,13.669724770642201,True,90.32766990291262,85.0,27.0,110.0,111.0,112.0,111.0,W12 7QT,51.511498,-0.233673,112,1045154,886675,"1 India Way, London, W12 7QT"
93,5,Cheam Fields Primary Academy,Sutton,143375,3 to 11,63,458.0,11.0,Does not apply,False,56,18.6,24.623655913978492,False,90.20631067961165,84.0,27.0,111.0,111.0,111.0,111.0,SM3 8PQ,51.36484,-0.219625,106,567346,565000,"Stoughton Avenue, Cheam, Sutton, SM3 8PQ"
94,6,Wanstead Church School,Redbridge,102841,3 to 11,24,207.0,17.0,Church of England,True,,10.4,19.903846153846153,False,90.20631067961165,96.0,17.0,113.0,111.0,111.0,111.66666666666667,E11 2SS,51.578564,0.023538,88,875910,867250,"Church Path, Wanstead, London, E11 2SS"
95,9,Ashmole Primary School,Barnet,142772,4 to 11,61,421.0,10.0,None,False,57,14.63,28.776486671223513,False,89.95145631067962,80.0,30.0,111.0,110.0,114.0,111.66666666666667,N14 7NP,51.628901,-0.136947,27,705556,685000,"Summit Way, Southgate, London, N14 7NP"
96,9,Hallsville Primary School,Newham,145363,3 to 11,56,464.0,46.0,Does not apply,False,58,28.0,16.571428571428573,False,89.92718446601941,86.0,29.0,110.0,111.0,111.0,110.66666666666667,E16 1LN,51.512484,0.016861,44,542210,465000,"Radland Road, London, E16 1LN"
97,4,The Blue School CofE Primary,Hounslow,102523,3 to 11,66,456.0,3.0,Church of England,True,,18.66,24.437299035369776,False,89.8118932038835,88.0,18.0,112.0,110.0,113.0,111.66666666666667,TW7 6RQ,51.46928,-0.324587,95,693726,640000,"North Street, Isleworth, TW7 6RQ"
98,5,Wellington Primary School,Hounslow,102505,3 to 11,111,768.0,18.0,Does not apply,False,59,31.26,24.56813819577735,False,89.80582524271846,85.0,32.0,109.0,111.0,113.0,111.0,TW3 3BD,51.472149,-0.378319,31,420253,407500,"Sutton Lane, Hounslow, TW3 3BD"
99,9,Sheen Mount Primary School,Richmond upon Thames,102897,4 to 11,71,590.0,11.0,Does not apply,False,60,27.9,21.14695340501792,False,89.74514563106796,82.0,27.0,111.0,112.0,111.0,111.33333333333333,SW14 7RT,51.461097,-0.275596,60,1200153,1175000,"West Temple, East Sheen, London, SW14 7RT"
100,3,"City of London Primary Academy, Islington",Islington,143020,4 to 11,30,317.0,20.0,None,False,61,16.6,19.096385542168672,False,89.67839805825243,80.0,40.0,112.0,109.0,113.0,111.33333333333333,EC1Y 0AE,51.523218,-0.096446,22,1813198,1638184,"15 Baltic Street West, London, EC1Y 0AE"
101,6,Marlborough Primary School,Kensington and Chelsea,100483,0 to 11,46,444.0,39.0,Does not apply,False,62,22.2,20.0,False,89.66626213592232,93.0,24.0,110.0,110.0,111.0,110.33333333333333,SW3 3AP,51.492679,-0.165887,162,4063843,3327500,"Draycott Avenue, London, SW3 3AP"
102,3,Holy Ghost Catholic Primary School,Wandsworth,101036,5 to 11,21,193.0,0.0,Roman Catholic,True,,9.9,19.494949494949495,False,89.5752427184466,86.0,29.0,111.0,111.0,110.0,110.66666666666667,SW12 8QJ,51.447881,-0.156341,231,1453454,1445000,"Nightingale Square, Balham, London, SW12 8QJ"
103,6,Burdett-Coutts and Townshend Foundation CofE Primary School,Westminster,101122,3 to 11,16,168.0,25.0,Church of England,True,,5.34,31.460674157303373,False,89.5752427184466,88.0,25.0,111.0,109.0,112.0,110.66666666666667,SW1P 2QQ,51.495115,-0.135003,28,1888001,1720000,"Rochester Street, London, SW1P 2QQ"
104,5,Highfield Junior School,Bromley,140257,7 to 11,92,367.0,5.0,None,False,63,15.3,23.986928104575163,False,89.53883495145631,92.0,21.0,110.0,110.0,112.0,110.66666666666667,BR2 0RL,51.395567,0.002226,19,621500,620000,"South Hill Road, Shortlands, Bromley, BR2 0RL"
105,2,Mossbourne Riverside Academy,Hackney,140426,3 to 11,84,602.0,29.0,Does not apply,False,64,28.87,20.852095600969864,False,89.29004854368931,92.0,33.0,111.0,109.0,110.0,110.0,E15 2GW,51.546985,-0.023555,23,932481,795000,"East Bay Lane, London, E15 2GW"
106,4,St Saviour's Church of England Primary School,Waltham Forest,144239,4 to 11,37,336.0,30.0,Church of England,True,,21.0,16.0,False,89.24150485436894,89.0,22.0,110.0,110.0,112.0,110.66666666666667,E17 8ER,51.57426,-0.029992,223,637371,630000,"Verulam Avenue, 33, London, E17 8ER"
107,3,"Redriff Primary, City of London Academy",Southwark,137648,3 to 11,74,478.0,27.0,Does not apply,False,65,27.3,17.509157509157507,False,89.2233009708738,89.0,28.0,110.0,109.0,112.0,110.33333333333333,SE16 5LQ,51.501926,-0.036629,72,737418,745000,"Salter Road, Rotherhithe, London, SE16 5LQ"
108,6,"St Mary's Catholic Primary School ,Chiswick",Hounslow,102529,3 to 11,27,191.0,19.0,Roman Catholic,True,,10.0,19.1,False,89.20509708737863,81.0,37.0,111.0,110.0,111.0,110.66666666666667,W4 2DF,51.488933,-0.258169,120,1322688,1279000,"Duke Road, Chiswick, London, W4 2DF"
109,3,Bonneville Primary School,Lambeth,131247,3 to 11,36,353.0,50.0,Does not apply,False,66,18.0,19.61111111111111,False,89.13228155339806,89.0,33.0,111.0,111.0,109.0,110.33333333333333,SW4 9LB,51.453249,-0.140365,133,1424629,1380000,"Bonneville Gardens, Clapham, London, SW4 9LB"
110,5,Coldfall Primary School,Haringey,102097,3 to 11,89,683.0,6.0,Does not apply,False,67,32.9,20.75987841945289,False,88.94417475728156,84.0,31.0,112.0,110.0,110.0,110.66666666666667,N10 1HS,51.597106,-0.153005,67,1173196,1050000,"Coldfall Avenue, Muswell Hill, London, N10 1HS"
111,4,Winton Primary School,Islington,100428,2 to 11,25,250.0,56.0,Does not apply,False,68,12.1,20.66115702479339,False,88.93203883495146,92.0,24.0,110.0,109.0,112.0,110.33333333333333,N1 9AZ,51.533383,-0.118371,34,1678912,1615000,"Killick Street, Kings Cross, London, N1 9AZ"
112,3,Walker Primary School,Enfield,146868,4 to 11,59,418.0,10.0,Does not apply,False,69,21.2,19.71698113207547,False,88.92597087378641,85.0,31.0,110.0,110.0,111.0,110.33333333333333,N14 7EG,51.625024,-0.126704,19,831421,772000,"Waterfall Road, Southgate, London, N14 7EG"
113,3,St Joseph's Catholic Junior School,Brent,101539,7 to 11,65,274.0,9.0,Roman Catholic,True,,11.9,23.025210084033613,False,88.92597087378641,91.0,18.0,110.0,111.0,112.0,111.0,HA9 6BE,51.552363,-0.286643,33,562152,575000,"Chatsworth Avenue, Wembley, HA9 6BE"
114,10,Thomson House School,Richmond upon Thames,139549,4 to 11,49,371.0,10.0,Does not apply,False,70,16.68,22.24220623501199,False,88.57402912621359,88.0,33.0,110.0,110.0,110.0,110.0,SW14 8HY,51.468812,-0.266364,157,1105196,1085000,"27 Sheen Lane, London, SW14 8HY"
115,3,Foxfield Primary School,Greenwich,143592,3 to 11,85,682.0,38.0,Does not apply,False,71,29.0,23.517241379310345,False,88.5618932038835,81.0,29.0,110.0,110.0,113.0,111.0,SE18 7EX,51.487143,0.076024,117,456577,441000,"Sandbach Place, London, SE18 7EX"
116,4,"Christ Church, Streatham Church of England Primary School",Lambeth,145614,5 to 11,20,159.0,50.0,Church of England,True,,9.24,17.207792207792206,False,88.51941747572816,85.0,25.0,111.0,109.0,112.0,110.66666666666667,SW2 3NF,51.44537,-0.121689,112,788108,795000,"Cotherstone Road, Streatham, London, SW2 3NF"
117,10,Cleves Primary School,Newham,143882,3 to 11,55,474.0,51.0,Does not apply,False,72,16.63,28.502705953096815,False,88.48907766990291,84.0,20.0,111.0,112.0,111.0,111.33333333333333,E6 1QP,51.533297,0.043144,224,462479,457000,"Arragon Road, East Ham, London, E6 1QP"
118,2,Krishna Avanti Primary School,Harrow,138688,3 to 11,60,454.0,5.0,Hindu,True,,21.8,20.825688073394495,False,88.44660194174757,87.0,22.0,110.0,111.0,111.0,110.66666666666667,HA8 6ES,51.604099,-0.280711,64,519265,520000,"Camrose Avenue, Edgware, HA8 6ES"
119,3,Cannon Lane Primary School,Harrow,102204,4 to 11,116,734.0,9.0,Does not apply,False,73,34.7,21.152737752161382,False,88.41626213592232,84.0,24.0,111.0,110.0,111.0,110.66666666666667,HA5 1TS,51.581511,-0.389166,26,701394,700000,"Cannonbury Avenue, Pinner, HA5 1TS"
120,1,"Canary Wharf College, Glenworth",Tower Hamlets,141039,4 to 11,39,302.0,15.0,Christian,True,,18.0,16.77777777777778,False,87.9490291262136,85.0,38.0,110.0,110.0,110.0,110.0,E14 3EB,51.489593,-0.005512,79,722301,715000,"93 Saunders Ness Road, Isle of Dogs, London, E14 3EB"
121,3,Montpelier Primary School,Ealing,101912,4 to 11,82,652.0,32.0,Does not apply,False,74,28.6,22.797202797202797,False,87.86407766990291,87.0,23.0,109.0,111.0,112.0,110.66666666666667,W5 2QT,51.523337,-0.300966,67,894835,876500,"Montpelier Road, Ealing, London, W5 2QT"
122,8,Holy Cross RC School,Hammersmith and Fulham,100345,3 to 11,71,622.0,17.0,Roman Catholic,True,,30.19,20.60284862537264,False,87.7366504854369,92.0,24.0,110.0,110.0,110.0,110.0,SW6 4BL,51.475948,-0.197476,296,2115861,1918750,"Basuto Road, London, SW6 4BL"
123,5,Jessop Primary School,Lambeth,100572,2 to 11,52,294.0,48.0,Does not apply,False,75,17.0,17.294117647058822,False,87.73058252427184,85.0,21.0,111.0,110.0,111.0,110.66666666666667,SE24 0BJ,51.460033,-0.101337,134,1099425,1062500,"Lowden Road, Herne Hill, London, SE24 0BJ"
124,5,South Grove Primary School,Waltham Forest,103072,3 to 11,50,460.0,40.0,Does not apply,False,76,21.26,21.636876763875822,False,87.69417475728154,90.0,24.0,109.0,109.0,115.0,111.0,E17 8PW,51.578071,-0.027764,238,685671,670000,"Ringwood Road, London, E17 8PW"
125,7,Colville Primary School,Kensington and Chelsea,100481,0 to 11,53,467.0,43.0,Does not apply,False,77,21.6,21.62037037037037,False,87.40291262135922,87.0,25.0,109.0,110.0,112.0,110.33333333333333,W11 2DF,51.514639,-0.203645,133,4054106,3275000,"Lonsdale Road, Portobello Road, London, W11 2DF"
126,1,St Luke's CofE Primary School,Kingston upon Thames,102604,3 to 11,30,240.0,10.0,Church of England,True,,11.84,20.27027027027027,False,87.34830097087378,80.0,27.0,111.0,109.0,113.0,111.0,KT2 6EN,51.41624,-0.296283,73,751994,720000,"Acre Road, Kingston upon Thames, KT2 6EN"
127,2,St Joseph's Catholic Primary School,Barking and Dagenham,147328,3 to 11,18,237.0,44.0,Roman Catholic,True,,14.0,16.928571428571427,False,87.34223300970874,83.0,28.0,109.0,113.0,111.0,111.0,IG11 7AR,51.5344,0.077107,43,383861,400000,"The Broadway, Barking, IG11 7AR"
128,4,Tudor Primary School,Ealing,101913,3 to 11,52,416.0,50.0,Does not apply,False,78,19.2,21.666666666666668,False,87.31796116504854,85.0,19.0,109.0,112.0,115.0,112.0,UB1 1NX,51.513591,-0.384544,98,504789,500000,"Tudor Road, Southall, UB1 1NX"
129,2,Nelmes Primary School,Havering,102321,4 to 11,61,430.0,10.0,Does not apply,False,79,17.8,24.157303370786515,False,87.2754854368932,89.0,28.0,111.0,110.0,109.0,110.0,RM11 3BX,51.579945,0.233464,40,495425,480000,"Wingletye Lane, Hornchurch, RM11 3BX"
130,6,Ainslie Wood Primary School,Waltham Forest,130343,3 to 11,53,437.0,15.0,Does not apply,False,80,23.42,18.65926558497011,False,87.2633495145631,87.0,34.0,109.0,111.0,110.0,110.0,E4 9DD,51.612366,-0.011647,171,558956,550000,"140 Ainslie Wood Road, Waltham Forest, London, E4 9DD"
