rank,borough_rank,school_name,borough,school_urn,age_range,eligible_pupils,total_pupils,fsm_percent,religious_denomination,is_faith_school,non_faith_rank,fte_all_teachers,pupils_per_teacher,anomalous_low_ptr,composite_score,expected_rwm,higher_rwm,reading_score,maths_score,gps_score,mean_scaled_score,postcode,latitude,longitude,terrace_sales_count_2y_0_5mi,terrace_avg_price_2y_0_5mi,terrace_median_price_2y_0_5mi,full_address
271,7,Christ the Saviour Church of England Primary School,Ealing,136445,3 to 11,117,899.0,20.0,Church of England,True,,39.86,22.553938785750127,False,78.11893203883496,82.0,24.0,110.0,108.0,109.0,109.0,W5 2AA,51.514118,-0.304595,32,994295,865000,"1 Springbridge Road, Ealing Broadway, Ealing, London, W5 2AA"
272,17,Whittingham Primary Academy,Waltham Forest,139317,3 to 11,50,363.0,32.0,Does not apply,False,163,15.4,23.57142857142857,False,78.04611650485437,82.0,26.0,108.0,110.0,109.0,109.0,E17 5QX,51.598457,-0.0353,150,606513,601750,"Higham Hill Road, Walthamstow, London, E17 5QX"
273,11,"Christ Church Church of England Primary School, Shooters Hill",Greenwich,100166,5 to 11,30,208.0,20.0,Church of England,True,,8.7,23.908045977011497,False,78.00970873786409,73.0,20.0,112.0,109.0,110.0,110.33333333333333,SE18 3RS,51.469838,0.060897,69,490256,477500,"Shooters Hill, London, SE18 3RS"
274,11,John Burns Primary School,Wandsworth,101014,3 to 11,21,165.0,71.0,Does not apply,False,164,11.0,15.0,True,77.99150485436893,90.0,14.0,110.0,108.0,110.0,109.33333333333333,SW11 5QR,51.469506,-0.152763,239,1079980,965000,"Wycliffe Road, Lavender Hill, London, SW11 5QR"
275,4,Warren Junior School,Barking and Dagenham,101219,7 to 11,136,559.0,26.0,Does not apply,False,165,24.2,23.09917355371901,False,77.99150485436893,79.0,13.0,109.0,110.0,113.0,110.66666666666667,RM6 6DA,51.5751,0.142694,87,450879,460000,"Gordon Road, Chadwell Heath, Romford, RM6 6DA"
276,6,Gonville Academy,Croydon,136714,3 to 11,60,442.0,35.0,Does not apply,False,166,20.6,21.45631067961165,False,77.9368932038835,80.0,18.0,108.0,110.0,111.0,109.66666666666667,CR7 6DL,51.394355,-0.121724,150,432648,432500,"Gonville Road, Thornton Heath, CR7 6DL"
277,22,Sacred Heart Roman Catholic Primary School,Barnet,101338,4 to 11,60,403.0,15.0,Roman Catholic,True,,18.02,22.364039955604884,False,77.85194174757282,83.0,22.0,108.0,109.0,110.0,109.0,N20 9JU,51.630089,-0.163817,39,696800,660000,"2 Oakleigh Park South, Whetstone, London, N20 9JU"
278,6,Orchard Primary School,Hackney,100234,3 to 11,75,531.0,47.0,Does not apply,False,167,33.0,16.09090909090909,False,77.82160194174757,87.0,23.0,109.0,109.0,108.0,108.66666666666667,E9 7BB,51.540846,-0.049029,73,1143471,1080000,"Holcroft Road, Hackney, London, E9 7BB"
279,7,The Rosary Catholic Primary School,Hounslow,135261,3 to 11,53,387.0,23.0,Roman Catholic,True,,17.71,21.852060982495765,False,77.7366504854369,85.0,11.0,108.0,111.0,114.0,111.0,TW5 0RL,51.487475,-0.372706,21,580190,520000,"10 The Green, Heston, Hounslow, TW5 0RL"
280,12,St Patrick's Catholic Primary School,Greenwich,100173,3 to 11,50,336.0,30.0,Roman Catholic,True,,16.2,20.74074074074074,False,77.60922330097088,88.0,24.0,107.0,109.0,110.0,108.66666666666667,SE18 7QG,51.488479,0.08539,178,408724,401500,"St Patrick's Catholic Primary School,Griffin Road, Plumstead, London, SE18 7QG"
281,10,Streatham Wells Primary,Lambeth,149556,3 to 11,30,234.0,40.0,Does not apply,False,168,10.6,22.07547169811321,False,77.60315533980582,93.0,17.0,111.0,108.0,108.0,109.0,SW2 3NJ,51.440221,-0.116317,93,802413,800000,"50 Palace Road, London, SW2 3NJ"
282,10,Kingsgate Primary School,Camden,132245,3 to 11,72,594.0,68.0,Does not apply,False,169,32.9,18.054711246200608,False,77.58495145631068,88.0,24.0,108.0,110.0,108.0,108.66666666666667,NW6 4LB,51.543471,-0.196741,112,1358255,1270000,"Kingsgate Road, London, NW6 4LB"
283,9,Langford Primary School,Hammersmith and Fulham,141685,3 to 11,30,338.0,43.0,Does not apply,False,170,18.6,18.172043010752688,False,77.57888349514563,90.0,20.0,109.0,108.0,109.0,108.66666666666667,SW6 2LG,51.472219,-0.188911,175,2186465,1875000,"Gilstead Road, Fulham, London, SW6 2LG"
284,2,Turnham Academy,Lewisham,146100,3 to 11,25,171.0,48.0,None,False,171,11.2,15.267857142857144,False,77.42718446601941,88.0,24.0,106.0,111.0,110.0,109.0,SE4 2HH,51.459809,-0.042901,157,872699,850000,"Turnham Road, Brockley, London, SE4 2HH"
285,13,Kidbrooke Park Primary School,Greenwich,149683,3 to 11,60,440.0,45.0,Does not apply,False,172,24.02,18.318068276436303,False,77.39077669902913,75.0,18.0,109.0,110.0,111.0,110.0,SE3 8JG,51.470379,0.042332,78,463005,440000,"202a Holburne Road, London, SE3 8JG"
286,12,Tetherdown Primary School,Haringey,102098,4 to 11,60,392.0,7.0,Does not apply,False,173,18.12,21.63355408388521,False,77.33616504854369,73.0,17.0,111.0,109.0,111.0,110.33333333333333,N10 3BP,51.588279,-0.150389,70,1577971,1568000,"Grand Avenue, London, N10 3BP"
