rank,borough_rank,school_name,borough,school_urn,age_range,eligible_pupils,total_pupils,fsm_percent,religious_denomination,is_faith_school,non_faith_rank,fte_all_teachers,pupils_per_teacher,anomalous_low_ptr,composite_score,expected_rwm,higher_rwm,reading_score,maths_score,gps_score,mean_scaled_score,postcode,latitude,longitude,lsoa_code,lsoa_name,terrace_sales_count_2y_0_5mi,terrace_avg_price_2y_0_5mi,terrace_median_price_2y_0_5mi,family_area_rating,area_safety_percentile,imd_lower_deprivation_percentile,imd_rank,imd_decile,imd_score,imd_lsoa_name,imd_local_authority,recent_family_crime_weighted_count_1mi,recent_crime_total_count_1mi,recent_crime_month,catchment_radius_m,catchment_source_year,catchment_source_name,catchment_source_url,catchment_note,full_address
22,3,St Elphege's RC Junior School,Sutton,102996,7 to 11,95,382.0,22.0,Roman Catholic,True,,17.28,22.10648148148148,False,96.86286407766991,92.0,39.0,111.0,112.0,114.0,112.33333333333333,SM6 9HY,,,,,,,,,,,,,,,,,,,,,,,,"Mollison Drive, Roundshaw, Wallington, SM6 9HY"
23,1,Our Lady of Victories Catholic Primary School,Wandsworth,101037,4 to 11,28,183.0,7.0,Roman Catholic,True,,9.29,19.69860064585576,False,96.8264563106796,96.0,29.0,114.0,111.0,114.0,113.0,SW15 1AW,,,,,,,,,,,,,,,,,,,,,,,,"1 Clarendon Drive, London, SW15 1AW"
24,3,Fox Primary School,Kensington and Chelsea,100482,4 to 11,57,415.0,12.0,Does not apply,False,13,23.9,17.364016736401673,False,96.80218446601941,91.0,42.0,111.0,112.0,114.0,112.33333333333333,W8 7PP,,,,,,,,,,,,,,,,,,,,,,,,"Fox Primary School , Kensington Place, London, W8 7PP"
25,1,Southwold Primary School,Hackney,100242,3 to 11,47,360.0,51.0,Does not apply,False,14,18.6,19.354838709677416,False,96.53519417475728,91.0,32.0,113.0,111.0,114.0,112.66666666666667,E5 9NL,,,,,,,,,,,,,,,,,,,,,,,,"Detmold Road, Clapton, Hackney, E5 9NL"
26,1,St Antony's Catholic Primary School,Newham,148025,2 to 11,58,435.0,45.0,Roman Catholic,True,,16.0,27.1875,False,96.22572815533981,97.0,36.0,111.0,112.0,112.0,111.66666666666667,E7 9PN,,,,,,,,,,,,,,,,,,,,,,,,"Upton Avenue, Forest Gate, London, E7 9PN"
27,1,St Andrew's Catholic Primary School,Lambeth,100632,4 to 11,52,397.0,19.0,Roman Catholic,True,,17.6,22.55681818181818,False,96.15291262135922,92.0,23.0,113.0,114.0,117.0,114.66666666666667,SW16 2ET,,,,,,,,,,,,,,,,,,,,,,,,"Polworth Road, Streatham, London, SW16 2ET"
28,2,Sheringdale Primary School,Wandsworth,101026,3 to 11,43,425.0,12.0,Does not apply,False,15,17.56,24.202733485193622,False,96.07402912621359,95.0,51.0,112.0,112.0,111.0,111.66666666666667,SW18 5TR,,,,,,,,,,,,,,,,,,,354,2026,Wandsworth Council reception allocations,https://www.wandsworth.gov.uk/media/4q2f3jqt/how_places_were_allocated_for_primary_schools_2026.pdf,Furthest distance offered under proximity criterion,"Standen Road, Southfields, Wandsworth, London, SW18 5TR"
29,1,Deansbrook Junior School,Barnet,139489,7 to 11,62,258.0,37.0,Does not apply,False,16,12.8,20.15625,False,95.99514563106796,95.0,34.0,111.0,111.0,113.0,111.66666666666667,NW7 3ED,,,,,,,,,,,,,,,,,,,,,,,,"Hale Drive, Mill Hill, London, NW7 3ED"
30,3,Churchfields Junior School,Redbridge,133935,7 to 11,120,479.0,13.0,Does not apply,False,17,23.2,20.646551724137932,False,95.8373786407767,91.0,38.0,112.0,111.0,112.0,111.66666666666667,E18 2RB,,,,,,,,,,,,,,,,,,,,,,,,"Churchfields, South Woodford, Redbridge, London, E18 2RB"
31,4,Manor Park Primary Academy,Sutton,145484,2 to 11,95,694.0,20.0,Does not apply,False,18,29.2,23.767123287671232,False,95.40655339805826,87.0,31.0,112.0,112.0,114.0,112.66666666666667,SM1 4AW,,,,,,,,,,,,,,,,,,,,,,,,"Greyhound Road, Sutton, SM1 4AW"
