rank,borough_rank,school_name,borough,school_urn,age_range,eligible_pupils,total_pupils,fsm_percent,religious_denomination,is_faith_school,non_faith_rank,fte_all_teachers,pupils_per_teacher,anomalous_low_ptr,composite_score,expected_rwm,higher_rwm,reading_score,maths_score,gps_score,mean_scaled_score,postcode,latitude,longitude,lsoa_code,lsoa_name,terrace_sales_count_2y_0_5mi,terrace_avg_price_2y_0_5mi,terrace_median_price_2y_0_5mi,family_area_rating,area_safety_percentile,imd_lower_deprivation_percentile,imd_rank,imd_decile,imd_score,imd_lsoa_name,imd_local_authority,recent_family_crime_weighted_count_1mi,recent_crime_total_count_1mi,recent_crime_month,catchment_radius_m,catchment_source_year,catchment_source_name,catchment_source_url,catchment_note,full_address
76,2,Holy Family Catholic Primary School,Ealing,137569,3 to 11,60,453.0,18.0,Roman Catholic,True,,20.0,22.65,False,92.0266990291262,80.0,33.0,111.0,112.0,114.0,112.33333333333333,W3 0DY,,,,,,,,,,,,,,,,,,,,,,,,"Vale Lane, Acton, London, W3 0DY"
77,7,Ravenscroft Primary School,Newham,144140,3 to 11,82,514.0,55.0,Does not apply,False,47,29.4,17.482993197278912,False,92.00849514563106,88.0,30.0,112.0,109.0,113.0,111.33333333333333,E16 4BD,,,,,,,,,,,,,,,,,,,,,,,,"Carson Road, London, E16 4BD"
78,5,St Peter's Eaton Square CofE Primary School,Westminster,101140,4 to 11,22,161.0,36.0,Church of England,True,,11.41,14.110429447852761,True,91.83252427184466,91.0,32.0,111.0,109.0,112.0,110.66666666666667,SW1W 0NL,,,,,,,,,,,,,,,,,,,,,,,,"Lower Belgrave Street, London, SW1W 0NL"
79,5,Cleveland Road Primary School,Redbridge,102798,3 to 11,115,903.0,29.0,Does not apply,False,48,26.9,33.56877323420075,False,91.66262135922331,87.0,25.0,110.0,112.0,113.0,111.66666666666667,IG1 1EW,,,,,,,,,,,,,,,,,,,,,,,,"Cleveland Road, Ilford, IG1 1EW"
80,7,Akiva School,Barnet,135086,4 to 11,58,420.0,0.0,Jewish,True,,19.36,21.694214876033058,False,91.6383495145631,86.0,31.0,111.0,111.0,111.0,111.0,N3 2SY,,,,,,,,,,,,,,,,,,,,,,,,"80 East End Road, London, N3 2SY"
81,2,Wingfield Primary School,Greenwich,148615,3 to 11,59,646.0,27.0,Does not apply,False,49,29.62,21.809588116137743,False,91.52305825242718,85.0,34.0,110.0,111.0,112.0,111.0,SE3 9GJ,,,,,,,,,,,,,,,,,,,,,,,,"Ensign Street, London, SE3 9GJ"
82,8,Menorah Primary School for Boys,Barnet,150274,3 to 11,23,209.0,0.0,Jewish,True,,14.33,14.584787159804605,True,91.30461165048544,91.0,30.0,111.0,111.0,110.0,110.66666666666667,NW11 9SP,,,,,,,,,,,,,,,,,,,,,,,,"The Wohl Campus, 1 - 3 the Drive, Golders Green, London, NW11 9SP"
83,2,Ark Franklin Primary Academy,Brent,139830,3 to 11,84,665.0,30.0,None,False,50,32.4,20.524691358024693,False,91.27427184466019,96.0,35.0,112.0,111.0,109.0,110.66666666666667,NW6 6HJ,,,,,,,,,,,,,,,,,,,,,,,,"Harvist Road, London, NW6 6HJ"
84,8,Scott Wilkie Primary School,Newham,145365,3 to 11,34,390.0,76.0,Does not apply,False,51,22.3,17.48878923766816,False,91.2621359223301,85.0,26.0,110.0,112.0,113.0,111.66666666666667,E16 3HD,,,,,,,,,,,,,,,,,,,,,,,,"Hoskins Close, London, E16 3HD"
85,2,The Cathedral School of St Saviour and St Mary Overie,Southwark,100840,3 to 11,29,219.0,45.0,Church of England,True,,13.2,16.590909090909093,False,91.0133495145631,93.0,41.0,109.0,111.0,111.0,110.33333333333333,SE1 1HG,,,,,,,,,,,,,,,,,,,,,,,,"Redcross Way, Southwark, LONDON, SE1 1HG"
86,1,Rush Green Primary School,Barking and Dagenham,101212,3 to 11,108,823.0,27.0,Does not apply,False,52,38.8,21.211340206185568,False,90.88592233009709,89.0,22.0,110.0,111.0,113.0,111.33333333333333,RM7 0RL,,,,,,,,,,,,,,,,,,,,,,,,"Dagenham Road, Rush Green, Romford, RM7 0RL"
87,4,La Fontaine Academy,Bromley,140999,4 to 11,59,451.0,10.0,None,False,53,21.8,20.68807339449541,False,90.84344660194175,92.0,24.0,111.0,110.0,111.0,110.66666666666667,BR1 2SQ,,,,,,,,,,,,,,,,,,,,,,,,"Nightingale Lane, Bickley, Bromley, BR1 2SQ"
88,8,St Mary's and St Peter's Church of England Primary School,Richmond upon Thames,102917,4 to 11,90,625.0,8.0,Church of England,True,,27.8,22.48201438848921,False,90.72815533980582,83.0,32.0,111.0,110.0,112.0,111.0,TW11 8RX,,,,,,,,,,,,,,,,,,,,,,,,"Somerset Road, Teddington, TW11 8RX"
